x_A,mass_eV,probability_density_Ainv
475.0,0.019999999775888146,2.2411185499018455e-10
480.0,0.01999999981651273,1.834872681825219e-10
485.0,0.01999999984977333,1.502266695091297e-10
490.0,0.019999999877004807,1.2299519442707358e-10
495.0,0.019999999899300052,1.006999482705071e-10
500.0,0.019999999917553853,8.244614455767407e-11
505.0,0.01999999993249881,6.75011940725207e-11
510.0,0.019999999944734698,5.5265303490468954e-11
515.0,0.019999999954752597,4.524740356849886e-11
520.0,0.01999999996295456,3.7045440813652825e-11
525.0,0.01999999996966976,3.033024166565148e-11
530.0,0.0199999999751677,2.4832301606782313e-11
535.0,0.01999999997966903,2.033096899975632e-11
540.0,0.019999999983354413,1.6645589563042803e-11
545.0,0.019999999986371746,1.3628256080433087e-11
550.0,0.019999999988842127,1.1157872365250801e-11
555.0,0.019999999990864707,9.13529324527363e-12
560.0,0.019999999992520653,7.479345518910371e-12
565.0,0.01999999999387643,6.123570189642993e-12
570.0,0.019999999994986445,5.013555233170544e-12
575.0,0.01999999999589525,4.104751851838311e-12
580.0,0.019999999996639314,3.3606865749788547e-12
585.0,0.019999999997248503,2.7514974504753072e-12
590.0,0.019999999997747264,2.2527355797759723e-12
595.0,0.019999999998155615,1.8443838977532043e-12
600.0,0.019999999998489944,1.510053817597627e-12
